No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss,,,,,,,
1,0.769107322,0.818997146,0.739690722,0.769557563,"[0.6895493865013123, 0.6726924180984497, 0.6311785578727722, 0.5736801028251648, 0.5186447501182556, 0.4747803211212158, 0.4424650967121124, 0.4189516603946686, 0.4016147255897522, 0.38839980959892273]","[0.6844800710678101, 0.6574427485466003, 0.6095876097679138, 0.5579870939254761, 0.5163430571556091, 0.4873094856739044, 0.4688275158405304, 0.4576607644557953, 0.45151469111442566, 0.44850602746009827]",,,,,,,
2,0.765897693,0.739264751,0.88107511,0.760960489,"[0.6899293661117554, 0.673046350479126, 0.6318598389625549, 0.5754382014274597, 0.5200932025909424, 0.4743885397911072, 0.44115227460861206, 0.4177411198616028, 0.40053591132164, 0.3875912129878998]","[0.6850393414497375, 0.657840371131897, 0.6112022399902344, 0.5598060488700867, 0.517451822757721, 0.48723626136779785, 0.46894189715385437, 0.45817941427230835, 0.45284250378608704, 0.44992712140083313]",,,,,,,
3,0.768304915,0.81663286,0.741163476,0.768764312,"[0.6898655295372009, 0.6745271682739258, 0.6360676884651184, 0.5778836607933044, 0.5205347537994385, 0.4747152626514435, 0.44168269634246826, 0.41813206672668457, 0.4009721875190735, 0.38791266083717346]","[0.6849530935287476, 0.6612092852592468, 0.6138254404067993, 0.5605993866920471, 0.5168071985244751, 0.48703688383102417, 0.46872732043266296, 0.45830196142196655, 0.45227450132369995, 0.44964316487312317]",,,,,,,
4,0.767903711,0.82117841,0.733799705,0.768330614,"[0.6898019313812256, 0.6746355295181274, 0.6390007734298706, 0.5859977602958679, 0.5311726927757263, 0.48344719409942627, 0.4476568400859833, 0.4220508635044098, 0.40352490544319153, 0.38963568210601807]","[0.6851937770843506, 0.6620296239852905, 0.6199365854263306, 0.5708467960357666, 0.5262911915779114, 0.49366286396980286, 0.47288066148757935, 0.4605691134929657, 0.45370936393737793, 0.45055919885635376]",,,,,,,
5,0.771313942,0.822422259,0.74005891,0.771752525,"[0.6888372898101807, 0.6691431403160095, 0.6261724829673767, 0.5692474842071533, 0.5147236585617065, 0.4709649384021759, 0.438778817653656, 0.415331095457077, 0.3980872929096222, 0.38514596223831177]","[0.682529091835022, 0.6530637145042419, 0.605146586894989, 0.5546465516090393, 0.5134031772613525, 0.4849865138530731, 0.4669456481933594, 0.45631030201911926, 0.450919508934021, 0.4484030604362488]",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Train,0.689549387,0.672692418,0.631178558,0.573680103,0.51864475,0.474780321,0.442465097,0.41895166,0.401614726,0.38839981
,,,Test,0.684480071,0.657442749,0.60958761,0.557987094,0.516343057,0.487309486,0.468827516,0.457660764,0.451514691,0.448506027
